Folder,Source,Especie,Foto_num,Alt_cabeza,Alt_ojo,Radio_AC_AO,Total_length
20210124_torneo_pesca_Punion,2,Pejerrey,35,21.7,8.56,2.54,250
20210207_torneo20hs_PUnion,2,Pejerrey,34-35,51.312,20.29,2.53,297
20210207_torneo20hs_PUnion,2,Pejerrey,42,33.895,15.264,2.22,270
20210207_torneo20hs_PUnion,2,Pejerrey,49-50,27.143,12.184,2.23,308
20210207_torneo20hs_PUnion,2,Pejerrey,53,28.625,12.546,2.28,290
20210207_torneo20hs_PUnion,2,Pejerrey,112,7.209,4.233,1.7,74
20210207_torneo20hs_PUnion,2,Pejerrey,132-133,35.139,15.07,2.33,309
20210207_torneo20hs_PUnion,2,Pejerrey,134-135,15.939,7.564,2.11,157
20210207_torneo20hs_PUnion,2,Pejerrey,140-141,4.48,1.71,2.62,313
20210207_torneo20hs_PUnion,2,Pejerrey,142-143,39.622,15.36,2.58,344
20210207_torneo20hs_PUnion,2,Pejerrey,148-149,23.795,12.018,1.98,242
20210207_torneo20hs_PUnion,2,Pejerrey,156-157,42.724,20.011,2.14,214
20210207_torneo20hs_PUnion,2,Pejerrey,159-161,43.92,20.62,2.13,166
20210207_torneo20hs_PUnion,2,Pejerrey,162,34.7,13.78,2.52,369
20210207_torneo20hs_PUnion,2,Pejerrey_smitti,25_26,30.089,15.191,1.98,167
20200222_T_pesca_Madryn,2,Pescadilla,"1,2",14.561,7.176,2.03,120
20200222_T_pesca_Madryn,2,Pescadilla,"36,37",18.4,7.6,2.42,125
20200119_T_Pesca_Rawson,2,Pez_gallo,"1,2,3",102.7,13.8,7.44,550
20200119_T_Pesca_Rawson,2,Pez_gallo,"4,5,6",100.7,15.5,6.5,522
20200119_T_Pesca_Rawson,2,Pez_gallo,"7,8",105.4,13.5,7.81,570
20200119_T_Pesca_Rawson,2,Pez_gallo,"9,10",89.8,13,6.91,460
20200119_T_Pesca_Rawson,2,Pez_gallo,"61,62",103,13.2,7.79,485
20200119_T_Pesca_Rawson,2,Pez_gallo,"66,67,68",63.9,9.5,6.73,355
20200119_T_Pesca_Rawson,2,Pez_gallo,"69,70",55.5,9.5,5.84,285
20200119_T_Pesca_Rawson,2,Pez_gallo,"71,72,73",71.3,10.4,6.86,405
